Date,Store ID,Product ID,Units Sold,Price,Discount,Inventory Level,Competitor Pricing,Holiday/Promotion,Weather Condition,lag1_units,lag2_units,lag3_units,rolling_3d_avg,price_gap,day_of_week,month,year,is_weekend,promo_flag,weather_idx,next_day_units_sold
2022-01-04,S001,P0001,58,77.88,15,85,75.99,1,Cloudy,5.0,81.0,127.0,71.0,1.8900000000000006,1,1,2022,0,1,0,147.0
2022-01-05,S001,P0001,147,28.46,20,238,29.4,1,Sunny,58.0,5.0,81.0,48.0,-0.9399999999999977,2,1,2022,0,1,3,37.0
2022-01-06,S001,P0001,37,91.05,5,198,87.3,0,Snowy,147.0,58.0,5.0,70.0,3.75,3,1,2022,0,0,2,107.0
2022-01-07,S001,P0001,107,53.99,10,195,58.8,1,Sunny,37.0,147.0,58.0,80.66666666666667,-4.809999999999995,4,1,2022,0,1,3,2.0
2022-01-08,S001,P0001,2,66.3,20,231,63.82,1,Cloudy,107.0,37.0,147.0,97.0,2.479999999999997,5,1,2022,1,1,0,350.0
2022-01-09,S001,P0001,350,41.72,0,373,38.68,1,Sunny,2.0,107.0,37.0,48.666666666666664,3.039999999999999,6,1,2022,1,1,3,36.0
2022-01-10,S001,P0001,36,32.68,5,327,34.71,1,Snowy,350.0,2.0,107.0,153.0,-2.030000000000001,0,1,2022,0,1,2,16.0
2022-01-11,S001,P0001,16,27.53,5,101,27.08,1,Rainy,36.0,350.0,2.0,129.33333333333334,0.45000000000000284,1,1,2022,0,1,1,104.0
2022-01-12,S001,P0001,104,92.92,0,145,97.59,0,Snowy,16.0,36.0,350.0,134.0,-4.670000000000002,2,1,2022,0,0,2,80.0
2022-01-13,S001,P0001,80,17.27,15,110,21.79,1,Snowy,104.0,16.0,36.0,52.0,-4.52,3,1,2022,0,1,2,177.0
2022-01-14,S001,P0001,177,90.05,20,199,87.05,0,Snowy,80.0,104.0,16.0,66.66666666666667,3.0,4,1,2022,0,0,2,176.0
2022-01-15,S001,P0001,176,98.04,10,290,98.2,1,Rainy,177.0,80.0,104.0,120.33333333333333,-0.1599999999999966,5,1,2022,1,1,1,97.0
2022-01-16,S001,P0001,97,11.39,15,104,7.96,0,Snowy,176.0,177.0,80.0,144.33333333333334,3.4300000000000006,6,1,2022,1,0,2,69.0
2022-01-17,S001,P0001,69,95.27,0,134,92.6,1,Rainy,97.0,176.0,177.0,150.0,2.6700000000000017,0,1,2022,0,1,1,123.0
2022-01-18,S001,P0001,123,90.7,15,339,86.51,0,Sunny,69.0,97.0,176.0,114.0,4.189999999999998,1,1,2022,0,0,3,211.0
2022-01-19,S001,P0001,211,97.97,10,431,95.06,0,Cloudy,123.0,69.0,97.0,96.33333333333333,2.9099999999999966,2,1,2022,0,0,0,79.0
2022-01-20,S001,P0001,79,10.38,0,154,11.46,0,Cloudy,211.0,123.0,69.0,134.33333333333334,-1.08,3,1,2022,0,0,0,390.0
2022-01-21,S001,P0001,390,13.1,15,430,15.14,1,Snowy,79.0,211.0,123.0,137.66666666666666,-2.040000000000001,4,1,2022,0,1,2,191.0
2022-01-22,S001,P0001,191,87.64,0,450,91.45,1,Snowy,390.0,79.0,211.0,226.66666666666666,-3.8100000000000023,5,1,2022,1,1,2,79.0
2022-01-23,S001,P0001,79,22.65,15,118,25.19,0,Cloudy,191.0,390.0,79.0,220.0,-2.5400000000000027,6,1,2022,1,0,0,9.0
2022-01-24,S001,P0001,9,76.71,15,115,75.85,1,Snowy,79.0,191.0,390.0,220.0,0.8599999999999994,0,1,2022,0,1,2,189.0
2022-01-25,S001,P0001,189,18.35,15,348,22.01,1,Rainy,9.0,79.0,191.0,93.0,-3.66,1,1,2022,0,1,1,49.0
2022-01-26,S001,P0001,49,59.48,5,200,55.45,1,Sunny,189.0,9.0,79.0,92.33333333333333,4.029999999999994,2,1,2022,0,1,3,164.0
2022-01-27,S001,P0001,164,93.34,0,410,94.33,0,Cloudy,49.0,189.0,9.0,82.33333333333333,-0.9899999999999949,3,1,2022,0,0,0,97.0
2022-01-28,S001,P0001,97,53.25,20,158,49.95,1,Cloudy,164.0,49.0,189.0,134.0,3.299999999999997,4,1,2022,0,1,0,47.0
2022-01-29,S001,P0001,47,88.06,15,154,92.84,1,Snowy,97.0,164.0,49.0,103.33333333333333,-4.780000000000001,5,1,2022,1,1,2,130.0
2022-01-30,S001,P0001,130,68.76,10,498,73.29,0,Snowy,47.0,97.0,164.0,102.66666666666667,-4.530000000000001,6,1,2022,1,0,2,200.0
2022-01-31,S001,P0001,200,70.78,0,410,68.88,1,Sunny,130.0,47.0,97.0,91.33333333333333,1.9000000000000057,0,1,2022,0,1,3,279.0
2022-02-01,S001,P0001,279,34.49,0,419,33.85,0,Sunny,200.0,130.0,47.0,125.66666666666667,0.6400000000000006,1,2,2022,0,0,3,38.0
2022-02-02,S001,P0001,38,52.49,5,415,48.25,0,Cloudy,279.0,200.0,130.0,203.0,4.240000000000002,2,2,2022,0,0,0,71.0
2022-02-03,S001,P0001,71,27.71,20,345,28.96,1,Rainy,38.0,279.0,200.0,172.33333333333334,-1.25,3,2,2022,0,1,1,25.0
2022-02-04,S001,P0001,25,16.84,15,121,12.53,0,Cloudy,71.0,38.0,279.0,129.33333333333334,4.3100000000000005,4,2,2022,0,0,0,350.0
2022-02-05,S001,P0001,350,51.44,15,458,51.54,0,Snowy,25.0,71.0,38.0,44.666666666666664,-0.10000000000000142,5,2,2022,1,0,2,69.0
2022-02-06,S001,P0001,69,68.85,5,167,71.82,1,Cloudy,350.0,25.0,71.0,148.66666666666666,-2.969999999999999,6,2,2022,1,1,0,62.0
2022-02-07,S001,P0001,62,11.34,5,244,9.63,0,Rainy,69.0,350.0,25.0,148.0,1.709999999999999,0,2,2022,0,0,1,12.0
2022-02-08,S001,P0001,12,67.64,10,140,69.12,0,Cloudy,62.0,69.0,350.0,160.33333333333334,-1.480000000000004,1,2,2022,0,0,0,16.0
2022-02-09,S001,P0001,16,90.55,0,209,90.2,0,Rainy,12.0,62.0,69.0,47.666666666666664,0.3499999999999943,2,2,2022,0,0,1,237.0
2022-02-10,S001,P0001,237,89.58,5,311,91.4,0,Rainy,16.0,12.0,62.0,30.0,-1.8200000000000074,3,2,2022,0,0,1,203.0
2022-02-11,S001,P0001,203,19.93,0,216,24.88,0,Sunny,237.0,16.0,12.0,88.33333333333333,-4.949999999999999,4,2,2022,0,0,3,29.0
2022-02-12,S001,P0001,29,64.4,15,358,61.19,1,Sunny,203.0,237.0,16.0,152.0,3.210000000000008,5,2,2022,1,1,3,149.0
2022-02-13,S001,P0001,149,85.19,10,229,85.28,0,Rainy,29.0,203.0,237.0,156.33333333333334,-0.09000000000000341,6,2,2022,1,0,1,259.0
2022-02-14,S001,P0001,259,97.41,10,429,93.97,1,Snowy,149.0,29.0,203.0,127.0,3.4399999999999977,0,2,2022,0,1,2,111.0
2022-02-15,S001,P0001,111,51.27,5,126,53.8,0,Snowy,259.0,149.0,29.0,145.66666666666666,-2.529999999999994,1,2,2022,0,0,2,373.0
2022-02-16,S001,P0001,373,65.22,10,373,66.25,1,Rainy,111.0,259.0,149.0,173.0,-1.0300000000000011,2,2,2022,0,1,1,31.0
2022-02-17,S001,P0001,31,49.34,5,82,51.94,1,Rainy,373.0,111.0,259.0,247.66666666666666,-2.5999999999999943,3,2,2022,0,1,1,27.0
2022-02-18,S001,P0001,27,20.21,15,115,18.45,0,Rainy,31.0,373.0,111.0,171.66666666666666,1.7600000000000016,4,2,2022,0,0,1,27.0
2022-02-19,S001,P0001,27,75.6,0,207,71.3,1,Snowy,27.0,31.0,373.0,143.66666666666666,4.299999999999997,5,2,2022,1,1,2,166.0
2022-02-20,S001,P0001,166,73.76,10,284,70.18,0,Rainy,27.0,27.0,31.0,28.333333333333332,3.5799999999999983,6,2,2022,1,0,1,337.0
2022-02-21,S001,P0001,337,96.55,10,337,100.1,0,Sunny,166.0,27.0,27.0,73.33333333333333,-3.549999999999997,0,2,2022,0,0,3,191.0
2022-02-22,S001,P0001,191,12.81,15,467,12.47,1,Sunny,337.0,166.0,27.0,176.66666666666666,0.33999999999999986,1,2,2022,0,1,3,129.0
2022-02-23,S001,P0001,129,27.67,15,152,31.03,0,Cloudy,191.0,337.0,166.0,231.33333333333334,-3.3599999999999994,2,2,2022,0,0,0,177.0
